Week,weekly_21,weekly_20,weekly_19,weekly_18,ytd_21,ytd_20,ytd_19,ytd_18
1,15,14,7,12,15,14,7,12
2,15,13,9,8,30,27,16,20
3,12,7,12,9,44,34,28,29
4,8,7,7,15,47,41,35,44
5,14,13,2,7,64,54,37,51
6,6,10,12,12,70,64,49,63
7,11,16,15,8,81,80,64,71
8,9,15,8,16,90,95,72,87
9,12,10,13,11,102,105,85,98
10,18,10,5,8,120,115,90,106
11,19,13,10,11,139,128,100,117
12,9,10,6,12,148,138,106,129
13,16,18,13,10,164,156,119,139
14,15,7,11,10,179,163,130,149
15,10,11,14,9,192,174,144,158
16,7,20,5,12,196,194,149,170
17,6,20,9,14,202,214,158,184
18,9,10,14,11,211,224,172,195
19,11,10,13,10,222,234,185,205
20,18,18,15,7,240,252,200,212
21,9,9,7,8,249,261,207,220
22,9,16,13,12,258,277,220,232
23,8,13,7,10,266,290,227,242
24,16,14,13,11,282,304,240,253
25,11,22,14,15,293,326,254,268
26,17,13,20,9,310,339,274,277
27,11,17,12,15,321,356,286,292
28,11,13,19,8,332,369,305,300
29,10,13,8,13,342,382,313,313
30,20,15,10,7,362,397,323,320
31,17,9,14,11,379,406,337,331
32,13,19,5,11,392,425,342,342
33,15,17,14,7,407,442,356,349
34,19,17,13,8,426,459,369,357
35,13,13,8,7,439,472,377,364
36,16,13,11,13,455,485,388,377
37,10,19,6,16,465,504,394,393
38,13,16,11,8,478,520,405,401
39,13,12,12,9,491,532,417,410
40,15,17,19,13,506,549,436,423
41,6,28,11,8,512,577,447,431
42,11,16,10,6,523,593,457,437
43,13,12,10,9,536,605,467,446
44,5,15,6,7,541,620,473,453
45,14,20,10,10,555,640,483,463
46,8,14,3,9,563,654,486,472
47,8,14,8,8,571,668,494,480
48,14,10,7,6,585,678,501,486
49,,17,9,9,,695,510,495
50,,12,8,12,,707,518,507
51,,14,9,4,,721,527,511
52,,13,4,9,,734,531,520
